,open,high,low,close,volume,money
2014-11-07,2.69,2.73,2.68,2.7,185103424.0,500760096.0
2014-11-10,2.72,2.78,2.72,2.78,254932866.0,700418368.0
2014-11-11,2.79,2.97,2.79,2.88,739635860.0,2139143680.0
2014-11-12,2.86,2.86,2.82,2.85,234609290.0,665749632.0
2014-11-13,2.85,2.9,2.84,2.85,246373904.0,706374400.0
2014-11-14,2.86,2.87,2.83,2.86,174336559.0,496181920.0
2014-11-17,2.94,2.94,2.83,2.84,286835326.0,827209344.0
2014-11-18,2.87,2.88,2.81,2.82,201156989.0,569736064.0
2014-11-19,2.8,2.82,2.78,2.79,142646801.0,398616832.0
2014-11-20,2.79,2.8,2.76,2.79,122042244.0,339571200.0
2014-11-21,2.79,2.84,2.78,2.82,147268769.0,413475392.0
2014-11-24,2.8,2.86,2.79,2.82,232051787.0,657357504.0
2014-11-25,2.82,2.87,2.82,2.85,211797231.0,602064256.0
2014-11-26,2.85,2.89,2.84,2.89,328973952.0,944879744.0
2014-11-27,2.91,2.91,2.88,2.9,404862984.0,1174924800.0
2014-11-28,2.9,3.07,2.89,3.06,1127917265.0,3356783616.0
2014-12-01,3.07,3.15,3.03,3.04,859678886.0,2639520000.0
2014-12-02,3.01,3.19,3.0,3.16,882295704.0,2730542592.0
2014-12-03,3.15,3.22,3.09,3.1,857315948.0,2697790464.0
2014-12-04,3.1,3.24,3.09,3.23,943051424.0,2985764608.0
2014-12-05,3.25,3.54,3.19,3.47,1353759478.0,4580277248.0
2014-12-08,3.4,3.6,3.32,3.5,1151169189.0,3966081792.0
2014-12-09,3.44,3.5,3.16,3.18,1502416257.0,5075552768.0
2014-12-10,3.16,3.28,3.08,3.25,813967758.0,2574925824.0
2014-12-11,3.19,3.26,3.16,3.18,491746826.0,1574301184.0
2014-12-12,3.19,3.25,3.16,3.19,414582783.0,1327654272.0
2014-12-15,3.16,3.17,3.08,3.13,451909729.0,1408312832.0
2014-12-16,3.12,3.23,3.12,3.22,624037560.0,1978360448.0
2014-12-17,3.23,3.42,3.19,3.38,1316529477.0,4344311296.0
2014-12-18,3.38,3.38,3.27,3.29,724026937.0,2403489536.0
2014-12-19,3.28,3.37,3.26,3.34,799903772.0,2657662720.0
2014-12-22,3.38,3.63,3.38,3.56,2307547411.0,8172305408.0
2014-12-23,3.48,3.53,3.38,3.39,1028293596.0,3564935680.0
2014-12-24,3.41,3.43,3.22,3.28,825194359.0,2720391936.0
2014-12-25,3.32,3.41,3.28,3.38,725738788.0,2432539648.0
2014-12-26,3.38,3.51,3.37,3.5,886225395.0,3048645888.0
2014-12-29,3.62,3.65,3.44,3.49,1170934922.0,4174208000.0
2014-12-30,3.49,3.62,3.46,3.56,920351064.0,3268242944.0
2014-12-31,3.58,3.72,3.52,3.69,1387648557.0,5049596416.0
2015-01-05,3.73,3.9,3.71,3.83,1804562232.0,6849226240.0
2015-01-06,3.78,4.06,3.75,3.86,1978577328.0,7672745984.0
2015-01-07,3.78,3.86,3.75,3.81,1070959835.0,4076793856.0
2015-01-08,3.82,3.84,3.63,3.66,914334766.0,3396521216.0
2015-01-09,3.65,3.9,3.59,3.69,1310088536.0,4905936896.0
2015-01-12,3.67,3.72,3.57,3.65,722745479.0,2638839552.0
2015-01-13,3.63,3.68,3.62,3.65,354776636.0,1292588672.0
2015-01-14,3.66,3.76,3.66,3.7,713046566.0,2645522688.0
